dataset,x,y
6,10.5,0.0
6,10.75,0.0
6,11.0,0.0
6,11.25,0.0
6,11.5,0.0
6,11.75,0.0
6,12.0,0.0
6,12.25,0.0
6,0.25,0.0
6,0.5,0.0
6,0.75,0.0
6,1.0,0.0
6,1.25,0.0
6,1.5,0.0
6,1.75,0.0
7,2.0,0.0
7,2.25,0.0
7,2.5,0.0
7,2.75,0.0
7,3.0,0.0
7,3.25,0.0
7,3.5,0.0
7,3.75,0.0
7,4.0,0.0
7,4.25,0.0
7,4.5,0.0
7,4.75,0.0
7,5.0,0.0
7,5.25,0.0
7,5.5,0.0
7,5.75,0.0
7,6.0,0.0
7,6.25,0.0
7,6.5,0.0
7,6.75,0.0
7,7.0,0.0
7,7.25,0.0
7,7.5,0.0
7,7.75,0.0
7,8.0,0.0
7,8.25,0.0
7,8.5,0.0
7,8.75,0.0
7,9.0,0.0
7,9.25,0.0
7,9.5,0.0
7,9.75,0.0
7,10.0,0.0
7,10.25,0.0
7,10.5,0.0
7,10.75,0.0
7,11.0,0.0
7,11.25,0.0
7,11.5,0.0
7,11.75,0.0
7,12.0,0.0
7,12.25,0.0
7,0.25,0.0
7,0.5,0.0
7,0.75,0.0
7,1.0,0.0
7,1.25,0.0
7,1.5,0.0
7,1.75,0.0
8,2.0,0.0
8,2.25,0.0
8,2.5,0.0
8,2.75,0.0
8,3.0,0.0
8,3.25,0.0
8,3.5,0.0
8,3.75,0.0
8,4.0,0.0
8,4.25,0.0
8,4.5,0.0
8,4.75,0.0
8,5.0,0.0
8,5.25,0.0
8,5.5,0.0
8,5.75,0.0
8,6.0,0.0
8,6.25,0.0
8,6.5,0.0
8,6.75,0.0
8,7.0,0.0
8,7.25,0.0
8,7.5,0.0
8,7.75,0.0
8,8.0,0.0
8,8.25,0.0
8,8.5,0.0
8,8.75,0.0
8,9.0,0.0
8,9.25,0.0
8,9.5,0.0
8,9.75,0.0
8,10.0,0.0
8,10.25,0.0
8,10.5,0.0
8,10.75,0.0
8,11.0,0.0
8,11.25,0.0
8,11.5,0.0
8,11.75,0.0
8,12.0,0.0
8,12.25,0.0
8,0.25,0.0
8,0.5,0.0
8,0.75,0.0
8,1.0,0.0
8,1.25,0.0
8,1.5,0.0
8,1.75,0.0
